1, 1, 2.0, 1, 25, 0, 3, 9, 0, 1, 1, 13, 0.125
1, 2, 10.0, 1, 25, 0, 3, 9, 0, 7, 3, 7, 0.5833333333333334
1, 3, 2.0, 1, 25, 0, 3, 9, 0, 2, 0, 16, 0.19999999999999998
1, 4, 7.0, 1, 25, 0, 3, 9, 0, 5, 2, 11, 0.43478260869565216
1, 5, 12.0, 1, 25, 0, 3, 9, 0, 9, 3, 6, 0.6666666666666665
1, 6, 1.0, 1, 25, 0, 3, 9, 0, 0, 1, 4, 0
1, 8, 3.0, 1, 25, 0, 3, 9, 0, 0, 3, 4, 0
1, 9, 2.0, 1, 25, 0, 3, 9, 0, 0, 2, 4, 0
1, 10, 4.0, 1, 25, 0, 3, 9, 0, 0, 4, 6, 0
1, 11, 5.0, 1, 25, 0, 3, 9, 0, 0, 5, 6, 0
1, 12, 1.0, 1, 25, 0, 3, 9, 0, 0, 1, 5, 0
1, 13, 5.0, 1, 25, 0, 3, 9, 0, 1, 4, 12, 0.1111111111111111
2, 1, 2.0, 1, 26, 0, 3, 9, 10, 2, 0, 12, 0.25
2, 2, 7.0, 1, 26, 0, 3, 9, 10, 5, 2, 9, 0.4761904761904762
2, 3, 4.0, 1, 26, 0, 3, 9, 10, 3, 1, 15, 0.27272727272727276
2, 4, 5.0, 1, 26, 0, 3, 9, 10, 4, 1, 12, 0.38095238095238093
2, 5, 11.0, 1, 26, 0, 3, 9, 10, 9, 2, 6, 0.6923076923076923
2, 8, 2.0, 1, 26, 0, 3, 9, 10, 0, 2, 4, 0
2, 9, 3.0, 1, 26, 0, 3, 9, 10, 0, 3, 4, 0
2, 10, 1.0, 1, 26, 0, 3, 9, 10, 0, 1, 6, 0
2, 11, 3.0, 1, 26, 0, 3, 9, 10, 1, 2, 5, 0.2222222222222222
2, 12, 1.0, 1, 26, 0, 3, 9, 10, 0, 1, 5, 0
2, 13, 3.0, 1, 26, 0, 3, 9, 10, 1, 2, 12, 0.125
