1, 11.0, 8, 24, 0, 3, 0, 0, 9, 2, 5, 0.7200000000000001
2, 12.0, 1, 26, 0, 3, 9, 0, 10, 2, 4, 0.7692307692307692
3, 12.0, 1, 26, 0, 3, 0, 0, 11, 1, 7, 0.7333333333333334
4, 17.0, 1, 23, 0, 3, 0, 10, 11, 6, 5, 0.6666666666666667
5, 14.0, 1, 25, 0, 3, 9, 0, 13, 1, 2, 0.896551724137931
6, 3.0, 1, 26, 3, 5, 0, 0, 2, 1, 2, 0.5714285714285715
8, 4.0, 1, 24, 1, 5, 9, 0, 2, 2, 2, 0.5
9, 3.0, 16, 23, 1, 5, 0, 0, 3, 0, 1, 0.8571428571428571
10, 3.0, 1, 25, 3, 5, 0, 20, 3, 0, 3, 0.6666666666666666
11, 5.0, 1, 26, 0, 3, 0, 20, 5, 0, 1, 0.9090909090909091
12, 3.0, 1, 25, 3, 5, 0, 20, 2, 1, 3, 0.5
13, 12.0, 1, 26, 1, 3, 0, 0, 12, 0, 1, 0.9600000000000001
