1, 9.0, 4, 23, 3, 3, 0, 20, 9, 0, 5, 0.782608695652174
2, 12.0, 4, 23, 3, 5, 0, 10, 7, 5, 7, 0.5384615384615384
3, 21.0, 1, 23, 2, 3, 9, 10, 7, 14, 11, 0.358974358974359
4, 7.0, 1, 23, 1, 5, 0, 10, 7, 0, 9, 0.6086956521739131
5, 13.0, 4, 23, 3, 3, 0, 0, 13, 0, 2, 0.9285714285714286
6, 2.0, 6, 23, 3, 5, 0, 0, 2, 0, 2, 0.6666666666666666
8, 1.0, 12, 25, 1, 3, 0, 10, 1, 0, 3, 0.4
9, 2.0, 14, 26, 2, 5, 0, 10, 2, 0, 2, 0.6666666666666666
10, 4.0, 1, 24, 3, 3, 0, 0, 3, 1, 3, 0.6
11, 6.0, 1, 24, 1, 3, 0, 10, 5, 1, 1, 0.8333333333333334
12, 8.0, 1, 22, 0, 3, 0, 20, 3, 5, 2, 0.4615384615384615
13, 10.0, 8, 26, 2, 3, 0, 0, 10, 0, 3, 0.8695652173913044
