1, 9.0, 8, 23, 1, 3, 0, 20, 6, 3, 8, 0.5217391304347826
2, 9.0, 12, 26, 0, 3, 9, 10, 8, 1, 6, 0.6956521739130435
3, 15.0, 16, 24, 0, 3, 0, 0, 12, 3, 6, 0.7272727272727272
4, 10.0, 4, 24, 3, 5, 0, 0, 9, 1, 7, 0.6923076923076923
5, 12.0, 16, 22, 1, 5, 0, 0, 11, 1, 4, 0.8148148148148148
6, 2.0, 1, 25, 1, 5, 0, 0, 2, 0, 2, 0.6666666666666666
8, 2.0, 1, 26, 3, 5, 9, 20, 2, 0, 2, 0.6666666666666666
9, 2.0, 1, 26, 1, 3, 0, 0, 2, 0, 2, 0.6666666666666666
10, 3.0, 1, 25, 3, 3, 0, 0, 3, 0, 3, 0.6666666666666666
11, 2.0, 1, 26, 1, 5, 9, 20, 2, 0, 4, 0.5
12, 6.0, 1, 23, 1, 3, 0, 20, 4, 2, 1, 0.7272727272727272
13, 13.0, 1, 25, 2, 5, 0, 0, 12, 1, 1, 0.9230769230769231
