1, 15.0, 1, 25, 0, 3, 9, 0, 13, 2, 1, 0.896551724137931
2, 13.0, 1, 25, 3, 3, 0, 20, 10, 3, 4, 0.7407407407407408
3, 13.0, 1, 25, 0, 3, 0, 10, 13, 0, 5, 0.8387096774193548
4, 13.0, 1, 24, 2, 3, 0, 0, 11, 2, 5, 0.7586206896551724
5, 16.0, 1, 24, 2, 5, 0, 10, 14, 2, 1, 0.9032258064516129
6, 2.0, 1, 26, 2, 3, 0, 20, 2, 0, 2, 0.6666666666666666
8, 2.0, 12, 23, 1, 3, 0, 0, 2, 0, 2, 0.6666666666666666
9, 1.0, 4, 25, 1, 3, 0, 0, 1, 0, 3, 0.4
10, 2.0, 1, 25, 1, 3, 0, 0, 2, 0, 4, 0.5
11, 2.0, 1, 25, 1, 5, 0, 10, 2, 0, 4, 0.5
12, 4.0, 1, 24, 2, 3, 0, 10, 4, 0, 1, 0.888888888888889
13, 12.0, 6, 25, 0, 3, 0, 0, 7, 5, 6, 0.5599999999999999
