1, 13.0, 1, 23, 3, 3, 0, 20, 11, 2, 3, 0.8148148148148148
2, 13.0, 16, 26, 0, 3, 9, 10, 9, 4, 5, 0.6666666666666666
3, 17.0, 2, 24, 0, 3, 0, 0, 9, 8, 9, 0.5142857142857143
4, 12.0, 4, 23, 2, 3, 0, 10, 9, 3, 7, 0.6428571428571429
5, 13.0, 1, 25, 0, 3, 0, 10, 13, 0, 2, 0.9285714285714286
6, 6.0, 1, 24, 1, 5, 9, 10, 2, 4, 2, 0.4
8, 3.0, 8, 22, 1, 5, 0, 0, 2, 1, 2, 0.5714285714285715
9, 2.0, 1, 26, 3, 3, 9, 0, 2, 0, 2, 0.6666666666666666
10, 3.0, 1, 24, 2, 5, 0, 0, 3, 0, 3, 0.6666666666666666
11, 4.0, 1, 26, 2, 3, 9, 10, 4, 0, 2, 0.8
12, 3.0, 1, 25, 1, 3, 0, 10, 2, 1, 3, 0.5
13, 10.0, 1, 25, 2, 3, 0, 10, 10, 0, 3, 0.8695652173913044
